player,school_name,class,pos,votes_first,votes_second,votes_third,points_won,Cmp,Att,Yds,TD,Int,year
Troy Smith,Ohio State,SR,QB,801,62,13,2540,203,311,2542,30,6,2006
Brady Quinn,Notre Dame,SR,QB,13,276,191,782,289,467,3426,37,7,2006
Colt Brennan,Hawaii,JR,QB,6,44,96,202,406,559,5549,58,12,2006
Tim Tebow,Florida,SO,QB,462,229,113,1957,234,350,3286,32,6,2007
Colt Brennan,Hawaii,SR,QB,54,114,242,632,359,510,4343,38,17,2007
Chase Daniel,Missouri,JR,QB,25,84,182,425,384,563,4306,33,11,2007
Dennis Dixon,Oregon,SR,QB,17,31,65,178,172,254,2136,20,4,2007
Pat White,West Virginia,JR,QB,16,28,46,150,144,216,1724,14,4,2007
Matt Ryan,Boston College,SR,QB,9,7,22,63,388,654,4507,31,19,2007
Sam Bradford,Oklahoma,SO,QB,300,315,196,1726,328,483,4720,50,8,2008
Colt McCoy,Texas,JR,QB,266,288,230,1604,332,433,3859,34,8,2008
Tim Tebow,Florida,JR,QB,309,207,234,1575,192,298,2746,30,4,2008
Graham Harrell,Texas Tech,SR,QB,13,44,86,213,442,626,5111,45,9,2008
Pat White,West Virginia,SR,QB,3,1,8,19,180,274,1842,21,7,2008
Nate Davis,Ball State,JR,QB,0,1,8,10,258,401,3591,26,8,2008
Colt McCoy,Texas,SR,QB,203,188,160,1145,332,470,3521,27,12,2009
Tim Tebow,Florida,SR,QB,43,70,121,390,213,314,2895,21,5,2009
Kellen Moore,Boise State,SO,QB,10,20,30,100,277,431,3536,39,3,2009
Case Keenum,Houston,JR,QB,2,9,13,37,492,700,5671,44,15,2009
Cam Newton,Auburn,JR,QB,729,24,28,2263,185,280,2854,30,7,2010
Andrew Luck,Stanford,SO,QB,78,309,227,1079,263,372,3338,32,8,2010
Kellen Moore,Boise State,JR,QB,40,165,185,635,273,383,3845,35,6,2010
Denard Robinson,Michigan,SO,QB,6,16,34,84,182,291,2570,18,11,2010
Ryan Mallett,Arkansas,JR,QB,0,11,19,41,266,411,3869,32,12,2010
Colin Kaepernick,Nevada,SR,QB,0,7,17,31,233,359,3022,21,8,2010
Andy Dalton,TCU,SR,QB,4,3,12,30,209,316,2857,27,6,2010
Robert Griffin III,Baylor,JR,QB,405,168,136,1687,291,402,4293,37,6,2011
Andrew Luck,Stanford,JR,QB,247,250,166,1407,288,404,3517,37,10,2011
Matt Barkley,USC,JR,QB,11,33,54,153,308,446,3528,39,7,2011
Case Keenum,Houston,SR,QB,10,20,53,123,428,603,5631,48,5,2011
Kellen Moore,Boise State,SR,QB,6,21,30,90,326,439,3800,43,9,2011
Russell Wilson,Wisconsin,SR,QB,4,12,15,52,225,309,3175,33,4,2011
Johnny Manziel,Texas A&M,FR,QB,474,252,103,2029,295,434,3706,26,9,2012
Collin Klein,Kansas State,SR,QB,60,197,320,894,197,304,2641,16,9,2012
Braxton Miller,Ohio State,SO,QB,3,29,77,144,148,254,2039,15,6,2012
Jordan Lynch,Northern Illinois,JR,QB,3,8,27,52,237,394,3138,25,6,2012
Jameis Winston,Florida State,FR,QB,668,84,33,2205,257,384,4057,40,10,2013
A.J. McCarron,Alabama,SR,QB,79,162,143,704,226,336,3063,28,7,2013
Jordan Lynch,Northern Illinois,SR,QB,40,149,140,558,253,404,2892,24,8,2013
Johnny Manziel,Texas A&M,SO,QB,30,103,125,421,300,429,4114,37,13,2013
Bryce Petty,Baylor,JR,QB,4,40,35,127,250,403,4200,32,3,2013
Derek Carr,Fresno State,SR,QB,6,23,43,107,454,659,5083,50,8,2013
Braxton Miller,Ohio State,JR,QB,4,21,37,91,162,255,2094,24,7,2013
Marcus Mariota,Oregon,JR,QB,788,74,22,2534,304,445,4454,42,4,2014
Trevone Boykin,TCU,JR,QB,7,45,104,218,301,492,3901,33,10,2014
J.T. Barrett,Ohio State,FR,QB,0,19,40,78,203,314,2834,34,10,2014
Jameis Winston,Florida State,SO,QB,4,10,19,51,305,467,3907,25,18,2014
Dak Prescott,Mississippi State,JR,QB,2,4,13,21,244,396,3449,27,11,2014
Deshaun Watson,Clemson,SO,QB,148,240,241,1165,333,491,4109,35,13,2015
Baker Mayfield,Oklahoma,JR,QB,34,55,122,334,269,395,3700,36,7,2015
Keenan Reynolds,Navy,SR,QB,20,17,86,180,61,115,1203,8,1,2015
Connor Cook,Michigan State,SR,QB,2,3,1,13,229,408,3131,24,7,2015
Lamar Jackson,Louisville,SO,QB,526,251,64,2144,230,409,3543,30,9,2016
Deshaun Watson,Clemson,JR,QB,269,302,113,1524,388,579,4593,41,17,2016
Baker Mayfield,Oklahoma,JR,QB,26,72,139,361,254,358,3965,40,8,2016
Jake Browning,Washington,SO,QB,3,41,91,182,243,391,3430,43,9,2016
Baker Mayfield,Oklahoma,SR,QB,732,87,28,2398,285,404,4627,43,6,2017
Lamar Jackson,Louisville,JR,QB,47,197,258,793,254,430,3660,27,10,2017
Mason Rudolph,Oklahoma State,SR,QB,2,14,22,56,318,489,4904,37,9,2017
McKenzie Milton,UCF,SO,QB,4,11,20,54,265,395,4037,37,9,2017
Kyler Murray,Oklahoma,JR,QB,517,278,60,2167,260,377,4361,42,7,2018
Tua Tagovailoa,Alabama,SO,QB,299,431,112,1871,245,355,3966,43,6,2018
Dwayne Haskins,Ohio State,SO,QB,46,111,423,783,373,533,4831,50,8,2018
Will Grier,West Virginia,SR,QB,4,17,80,126,266,397,3864,37,8,2018
Gardner Minshew,Washington State,SR,QB,6,15,74,122,468,662,4779,38,9,2018
McKenzie Milton,UCF,SO,QB,4,4,19,39,171,289,2663,25,6,2018
Joe Burrow,LSU,SR,QB,841,41,3,2608,402,527,5671,60,6,2019
Jalen Hurts,Oklahoma,SR,QB,12,231,264,762,237,340,3851,32,8,2019
Justin Fields,Ohio State,SO,QB,6,271,187,747,238,354,3273,41,3,2019
Trevor Lawrence,Clemson,SO,QB,3,25,29,88,268,407,3665,36,8,2019
